date,open,high,low,close
1617930180000,58399.99,58419.45,58359.29,58370.15
1617930240000,58368.09,58370.41,58314.91,58321.12
1617930300000,58321.12,58352.07,58311.76,58328.54
1617930360000,58328.54,58328.55,58260.52,58260.87
1617930420000,58260.88,58265.5,58218.62,58223.19
1617930480000,58223.18,58224.76,58180.0,58216.26
1617930540000,58216.25,58261.03,58204.25,58261.03
1617930600000,58261.03,58261.03,58227.23,58243.28
1617930660000,58243.28,58243.28,58190.22,58201.48
1617930720000,58201.49,58201.71,58190.0,58194.53
1617930780000,58194.54,58225.85,58147.38,58198.3
1617930840000,58198.3,58239.72,58190.0,58239.72
1617930900000,58239.71,58257.9,58207.4,58257.89
1617930960000,58257.89,58260.0,58237.93,58244.69
1617931020000,58244.68,58244.69,58130.56,58140.04
1617931080000,58140.05,58176.38,58125.0,58161.23
1617931140000,58164.48,58179.99,58144.1,58176.61
1617931200000,58176.61,58176.61,58105.85,58106.36
1617931260000,58106.36,58106.36,58055.52,58055.52
1617931320000,58055.53,58100.0,58050.0,58095.0
1617931380000,58092.42,58105.24,58065.25,58094.08
1617931440000,58094.07,58123.55,58088.69,58093.53
1617931500000,58093.52,58148.77,58093.52,58126.6
1617931560000,58126.6,58137.01,58115.58,58117.11
1617931620000,58117.12,58120.0,58069.41,58118.8
1617931680000,58118.8,58128.28,58102.93,58113.61
1617931740000,58113.61,58150.0,58109.99,58150.0
1617931800000,58149.99,58150.0,58092.59,58118.13
1617931860000,58118.12,58173.5,58118.12,58167.72
1617931920000,58167.71,58167.72,58108.93,58122.39
1617931980000,58122.38,58159.65,58118.26,58155.99
1617932040000,58155.99,58159.64,58115.73,58120.08
1617932100000,58120.08,58127.43,58090.0,58090.58
1617932160000,58090.57,58120.44,58035.41,58113.52
1617932220000,58113.51,58168.31,58107.15,58146.97
1617932280000,58146.97,58179.29,58102.56,58110.79
1617932340000,58110.79,58110.8,58096.0,58103.45
1617932400000,58103.45,58180.0,58096.0,58177.54
1617932460000,58177.53,58177.54,58128.95,58128.95
1617932520000,58128.95,58143.84,58113.27,58143.84
1617932580000,58143.83,58143.83,58099.0,58114.08
1617932640000,58114.07,58118.45,58101.89,58107.58
1617932700000,58107.58,58111.2,58082.71,58102.15
